id,question,slug,endDate,outcomes,outcomePrices,active,acceptingOrders,volumeNum,liquidityNum,liquidityClob,liquidity,book_bids,book_asks,book_bid_sum,book_ask_sum,book_bid_size_sum,book_ask_size_sum,book_underround,book_overround,outcomes_list,outcomePrices_list,price_yes,price_no,ask_sum,sum_off,sum_bad,degenerate_prices,bestBid_num,bestAsk_num,mid,rel_spread,crossed_or_zero,stale_yes_ask,yes_on_tick,no_on_tick,liquidity_num
516865,"Will Bitcoin reach $130,000 by December 31, 2025?",will-bitcoin-reach-130000-by-december-31-2025-911-832,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.2"", ""0.8""]",True,True,5584491.794143,170476.3691,170476.3691,170476.3691,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,1220509.04,1220509.04,0.0,0.0,"['Yes', 'No']","[0.2, 0.8]",0.2,0.8,1.0,0.0,False,False,0.19,0.21,0.2,0.09999999999999995,False,True,True,True,170476.3691
516872,"Will Bitcoin dip to $50,000 by December 31, 2025?",will-bitcoin-dip-to-50000-by-december-31-2025-391-715-682-587-692-994-786-318,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0235"", ""0.9765""]",True,True,2421037.395064,89808.46688,89808.46688,89808.46688,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,3220205.0,3220205.0,0.0,0.0,"['Yes', 'No']","[0.0235, 0.9765]",0.0235,0.9765,1.0,0.0,False,False,0.023,0.024,0.0235,0.04255319148936174,False,False,False,False,89808.46688
516871,"Will Bitcoin dip to $70,000 by December 31, 2025?",will-bitcoin-dip-to-70000-by-december-31-2025-193-726-878-775-359-968-264-727,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.09"", ""0.91""]",True,True,3336480.57637,110846.852,110846.852,110846.852,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,65792.81999999999,65792.81999999999,0.0,0.0,"['Yes', 'No']","[0.09, 0.91]",0.09,0.91,1.0,0.0,False,False,0.08,0.1,0.09,0.22222222222222227,False,True,True,True,110846.852
516873,"Will Bitcoin dip to $20,000 by December 31, 2025?",will-bitcoin-dip-to-20000-by-december-31-2025-942-621-278-695-321-896-769-417,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0075"", ""0.9925""]",True,True,2338145.72644,92037.52266,92037.52266,92037.52266,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,10311465.0,10311465.0,0.0,0.0,"['Yes', 'No']","[0.0075, 0.9925]",0.0075,0.9925,1.0,0.0,False,False,0.006,0.009,0.0075,0.3999999999999999,False,False,False,False,92037.52266
574072,"Will Bitcoin reach $140,000 by December 31, 2025?",will-bitcoin-reach-140000-by-december-31-2025-258-893,,"[""Yes"", ""No""]","[""0.095"", ""0.905""]",True,True,2107249.247377,124776.2872,124776.2872,124776.2872,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,1211707.2,1211707.2,0.0,0.0,"['Yes', 'No']","[0.095, 0.905]",0.095,0.905,1.0,0.0,False,False,0.09,0.1,0.095,0.10526315789473693,False,True,False,False,124776.2872
574073,"Will Bitcoin reach $170,000 by December 31, 2025?",will-bitcoin-reach-170000-by-december-31-2025-215,,"[""Yes"", ""No""]","[""0.034"", ""0.966""]",True,True,1692864.321982,97261.40368,97261.40368,97261.40368,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,2250999.0,2250999.0,0.0,0.0,"['Yes', 'No']","[0.034, 0.966]",0.034,0.966,1.0,0.0,False,False,0.033,0.035,0.034,0.058823529411764754,False,False,True,True,97261.40368
620015,"Will Bitcoin dip to $80,000 by December 31, 2025?",will-bitcoin-dip-to-80000-by-december-31-2025-118-573-457,2026-01-01T05:00:00Z,"[""Yes"", ""No""]","[""0.1815"", ""0.8185""]",True,True,305939.290982,55129.48164,55129.48164,55129.48164,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1138022.0,1138022.0,0.0,0.0,"['Yes', 'No']","[0.1815, 0.8185]",0.1815,0.8185,1.0,0.0,False,False,0.175,0.188,0.1815,0.07162534435261715,False,True,False,False,55129.48164
619977,"Will Bitcoin dip to $90,000 by December 31, 2025?",will-bitcoin-dip-to-90000-by-december-31-2025-174-623-586,2026-01-01T05:00:00Z,"[""Yes"", ""No""]","[""0.445"", ""0.555""]",True,True,807837.716721,79252.3646,79252.3646,79252.3646,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,526664.36,526664.36,0.0,0.0,"['Yes', 'No']","[0.445, 0.555]",0.445,0.555,1.0,0.0,False,False,0.44,0.45,0.445,0.02247191011235957,False,True,False,False,79252.3646
666217,"Will Bitcoin reach $120,000 by December 31, 2025?",will-bitcoin-reach-120000-by-december-31-2025,2026-01-01T05:00:00Z,"[""Yes"", ""No""]","[""0.33"", ""0.67""]",True,True,85388.376595,72170.3614,72170.3614,72170.3614,"[0.01, 0.1]","[0.9, 0.99]",0.11,1.8900000000000001,25363.0,25363.0,0.0,0.0,"['Yes', 'No']","[0.33, 0.67]",0.33,0.67,1.0,0.0,False,False,0.32,0.34,0.33,0.060606060606060656,False,True,True,True,72170.3614
670234,"Will Bitcoin dip to $100,000 by December 31, 2025?",will-bitcoin-dip-to-100000-by-december-31-2025,2026-01-01T05:00:00Z,"[""Yes"", ""No""]","[""0.86"", ""0.14""]",True,True,9579.788106,33287.412,33287.412,33287.412,"[0.02, 0.01]","[0.99, 0.98]",0.03,1.97,27260.0,27260.0,0.0,0.0,"['Yes', 'No']","[0.86, 0.14]",0.86,0.14,1.0,0.0,False,False,0.84,0.88,0.86,0.046511627906976785,False,True,True,True,33287.412
